repository	tag	version	size_bytes	size_human	amd64_digest	loaded_bytes
linuxserver/radarr	latest	6.3.0	93038147	88.7 MiB	sha256:aafefadc432ef62018bd2d7773f47f11e384c478d0e3ce8c7b16a8cdad865c32	220239701174231362
istio/proxyv2	1.31.0-rc.4-debug	1.31.0-rc.4	92668832	88.4 MiB	sha256:29f684ee83177cb64243044cc462a4894b0729d73159d787bffbff49f59ff136	1151389919773246336
linuxserver/sonarr	latest	4.0.19	87039809	83.0 MiB	sha256:6b06eac65225627173c12f049d8b5c55c588cdb0b3faa667553559cbb51e1474	204390260729260223
portainer/portainer	latest	null	86795383	82.8 MiB	sha256:7ae2aafda93b883b44eeb44d2631814d053634fb5b9b6bc0a635d2a2b8a3967c	258471451790944449
amazon/aws-efs-csi-driver	master	null	80487546	76.8 MiB	sha256:b58e398b284ac547864a8aa534d0f9810bb702ee8ae3c573c29e17093d25c433	101456224022743242
bitnami/kubectl	latest	null	78796743	75.1 MiB	sha256:7865d8837f59afc558b717c9d5a80d03992368eeea3c809c49c19a4e1502aebd	422303880151949802
grafana/promtail	latest	3.6.8	67292103	64.2 MiB	sha256:238d8562dc29ec83d2f5933c7fd6e9469a90ea316a04f160dcc7cf842910ca94	189930535067005842
timberio/vector	nightly-distroless-libc	null	66587482	63.5 MiB	sha256:291b3cedc20fc8c4af0e4f2c0ee402d59474312bf945a124c0108acb03170417	273882695431646678
library/nginx	latest	1.31.4	63327223	60.4 MiB	sha256:90c24d7f26b915f11b1f8e621ead4706b7e933de986498120310a876bf30dc1f	842699781197398233
library/redis	latest	8.10.1	55437546	52.9 MiB	sha256:76961cd2a0f40ef6fdd334b6b1b3a76a2bad1848d89f3030ca30a7521d4a9493	620091259690447578
library/traefik	latest	3.7	55064525	52.5 MiB	sha256:7523e37d0694ff940ee9cefe2184c5869dd0c0db7d6c5ee78254f7d985deecc6	194980648303253000
fluent/fluent-bit	latest	5.1.1	50672637	48.3 MiB	sha256:2fb23ef9decb3038299e721a4d7fe6d9fc5e6f1a81887d47b00f14c9e129dd1c	791214237758585727
bitnami/redis	latest	null	49646004	47.3 MiB	sha256:28196f444e949a072ce0e33e420a412a4f44ff48833493ad68f7138777b8cbe6	165972157135862436
grafana/loki	latest	3.7.7	47891727	45.7 MiB	sha256:550d599ec4efacd8ebc0a5871766855057cba2bd0c669c0711d898c00d6d901f	229082341399022592
openpolicyagent/gatekeeper	v3.23.1	v3.23.1	47756462	45.5 MiB	sha256:989b6950e220290f5439a8a338526f330fed2d3f086a11410df733ebbbca8b31	152001713721635336
library/httpd	latest	2.4.68	45254671	43.2 MiB	sha256:570743f3adc135cc48a0b10c4ee893dc9c948ea1d1e59550fa8f8af6e35048be	214222573828700822
library/ubuntu	latest	null	41569596	39.6 MiB	sha256:889d056d5c6c0bfb55789ff3710681d68e50713cb562d2196dc07110599c7a6f	416934205735943628
istio/pilot	1.31.0-rc.4-distroless	1.31.0-rc.4-distroless	33966306	32.4 MiB	sha256:22513f9f42b70ce67652c7172193f8a80ef88fd2abc04062b681fe2c69cd9b7c	408810797066524050
library/memcached	latest	1.6.45	32216756	30.7 MiB	sha256:57f76c8133336936ad246cae500f07d07b3bf149485f005b515016bdd455be8b	429212543189208064
istio/operator	1.23.6-distroless	1.23.6-distroless	29505825	28.1 MiB	sha256:51bf74472a41dac3cbe5a004b58baebed3a1083a6fb071882a27559e9a910b65	181899034053884550
stakater/reloader	merge-1198-ubi	null	15956739	15.2 MiB	sha256:e84a895ece23301f3a37c833494688bffe0ca7ac5d863c1481a37cffa3f7689b	386390307755950866
seabreeze/sbz-helloworld	1.1-alpine	1.1-alpine	7889631	7.5 MiB	sha256:7128117b707d2645ef4a05b3f26d37ecf400e32ce97f0ff9a6c6b120409777b6	25050417960634710
